Wow!	वाह!
Everything is all right at home.	घर में सब-कुछ ठीक है।
Finish this as soon as possible.	इसे जितनी जल्दी हो सके ख़त्म करो ।
Finish this as soon as possible.	इसे जल्द-से-जल्द ख़त्म करो ।
Fresh vegetables promote health.	ताज़ी सब्ज़ियाँ स्वास्थ्य के लिए अच्छी होतीं हैं।
Fresh vegetables promote health.	ताज़ी सब्ज़ियाँ सेहत के लिए अच्छी होतीं हैं।
He is afraid of making mistakes.	वह ग़लती करने से डरता है।
He looked back and smiled at me.	उसने पीछे मुड़कर मुझपर मुस्कुराया।
He was buried in this graveyard.	उसको इस कब्रिस्तान में बरी किया गया था।
He was buried in this graveyard.	उसको इस कब्रिस्तान में दफ़नाया गया था।
I am nothing but a poor peasant.	मैं तो बस एक गरीब किसान ही हूँ।
I bet ten dollars on that horse.	मैंने उस घोड़े पर दस डॉलर लगाए थे।
I clean up my room every Sunday.	मैं हर रविवार अपना कमरा साफ़ करता हूँ।
I have some stuff to do at home.	मुझे घर में थोड़ा काम करना है I
I hope he won't be disappointed.	मुझे आशा है कि वह निराश नहीं होगा।
I remember when I first saw you.	मुझे हमारी पहली मुलाकात याद है।
I wake him at six every morning.	मैं हर सुबह छः बजे उसको उठाती हूँ।
I want you to keep your promise.	मैं चाहता हूँ कि तुम अपना वादा निभाओ।
I will go there in place of you.	तुम्हारे बदले मैं वहाँ जाऊँगा।
I would like to meet his father.	मैं उसके पिता से मिलना चाह्ता हूँ।
I'm going to tell you something.	मैं तुम्हें कुछ बताने वाला हूँ।
I'm going to tell you something.	मैं तुम्हें कुछ बताने जा रहा हूँ।
I'm gonna have to call you back.	मुझे तुम्हें वापस बुलाना पड़ेगा।
It is very cold today, isn't it?	आज बहुत ठंडा है ना?
It isn't raining much this year.	इस साल ज़्यादा बारिश नहीं हो रही है।
It was raining heavily in Osaka.	ओसाका में भारी बारिश हो रही थी।
May I see your passport, please?	मैं आपका पासपोर्ट देख सकता हूँ क्या?
My father hates the summer heat.	मेरे पापा को गर्मी के मौसम से नफ़रत है।
My watch isn't working properly.	मेरी घड़ी ख़राब हो गई।
Perhaps he will never be famous.	संभवतः वह विख्यात कभी नहीँ हो पाएगा।
Please give me a glass of water.	मुझे एक गिलास पानी देदीजिए।
Please wait here until he comes.	उसके आने तक यहाँ इंतेज़ार कीजिए।
She bought two pounds of butter.	उसने एक किलो मक्खन खरीदा।
She gazed at me for a long time.	उसने मुझको बहुत देर तक घूरकर देखा।
She got off at the next station.	वह अगले स्टॉप पर उतर गई।
She left the table after dinner.	वह खाना खाने के बाद मेज़ से उठकर चली गई।
She lives in an apartment alone.	वह फ़्लैट में अकेले रहती है।
She saved money for a rainy day.	उसने बुरे वक्त के लिए पैसे बचाए।
She tried in vain to please him.	उसने बेकार में उसको खुश करने की कोशिश की।
Swimming here is very dangerous.	यहाँ तैरना बहुत ख़तरनाक है।
Tell whoever comes that I'm out.	अगर कोई आए तो उनसे कहना कि मैं बाहर गया हूँ।
The boy ran away when he saw me.	लड़का मुझको देखते ही भाग गया।
The clock has just struck three.	घड़ी पर अभी अभी तीन बजे हैं।
The dictionary is close at hand.	शब्दकोष पास में ही है।
The house is said to be haunted.	लोग कहते हैं कि इस घर में भूत हैं।
The kite got caught in the tree.	पतंग पेड़ में जाकर अटक गई।
The rumor turned out to be true.	वह अफ़वाह सच निकली।
The train came to a smooth stop.	ट्रेन हल्के से आकर रुकी।
The water was cut off yesterday.	पानी कल बंद हो गया था।
There are few, if any, such men.	ऐसे लोग कम ही होंगे।
There is always something to do.	करने के लिए हमेशा कुछ-न-कुछ तो होता ही है।
They abandoned the sinking ship.	उन्होंने डूबते हुए जहाज़ को छोड़ दिया।
They abandoned the sinking ship.	वे डूबते हुए जहाज़ से निकल गए।
They are discussing the problem.	वे इस समस्या के बारे में बातचीत कर रहे हैं।
To what degree can we trust him?	हम उस पर कितना भरोसा कर सकते हैं?
Try to jump as high as possible.	जितना ऊँचा कूद सकते हो कूदो।
Two crows are flying in the sky.	आसमान में दो कौवे उड़ रहें हैं।
Unless it rains, I will go, too.	अगर बारिश नहीं होती है तो मैं भी जाऊँगा।
We can hear the ocean from here.	हमे यहाँ से समुंदर सुनाई देता है।
We have eaten there three times.	हम वहाँ तीन बार खा चुके हैं।
We hurried to the train station.	हम जल्दबाज़ी में ट्रेन स्टेशन गए।
We saw the child get on the bus.	हमने बच्चे को बस पर चढ़ते हुए देखा।
We'll cross the river in a boat.	हम नाव में नदी को पार करेंगे।
What did you do with my baggage?	तुमने मेरे सामान के साथ क्या किया?
What is the population of India?	भारत की आबादी क्या है?
What is the population of India?	भारत की जनसंख्या क्या है?
What the newspapers say is true.	जो अखबार में लिखा है वह सच है।
Who is the author of this story?	इस कहानी का लेखक कौन है?
Why did you turn down his offer?	तुमने उसके प्रस्ताव को स्वीकार क्यों नहीं किया?
Why didn't you go to the office?	तुम दफ़्तर क्यों नहीं गए?
Will you turn on the television?	टीवी चालू कर दोगे क्या?
Wipe your hands with this towel.	अपने हाथ इस तौलिए से पोंछो।
Would you like to dance with me?	मेरे साथ नाचना चाहोगी क्या?
Would you like to dance with me?	मेरे साथ डान्स करना चाहती हो क्या?
You should conform to the rules.	तुम्हे नियमों का पालन करना चाहिए।
Your bicycle is similar to mine.	तुम्हारी साईकल मेरी साईकल जैसी है।
"Let's play tennis." "Yes let's."	"चलो टेनिस खेलने चलतें हैं।" "हाँ, चलो चलतें हैं"
A rope was thrown into the water.	रस्सी को पानी में फेंक दिया गया।
Do you go there by bus or by car?	तुम वहाँ बस से जाते हो या गाड़ी से?
Do you have brothers and sisters?	तुम्हारे पास भाई-बहन हैं क्या?
Don't worry. You can count on me.	चिंता मत करो। तुम मुझपर भरोसा कर सकते हो।
He called me up almost every day.	उसने लगभग रोज़ मुझे फ़ोन किया।
He cannot answer their questions.	वह उनके सवालों का जवाब नहीं दे सकता।
He explained his plans in detail.	उसने विस्तृत रूप से अपनी योजना समझाई।
He has his hair cut once a month.	वह अपने बाल महीने में एक बार कटवाता है।
He hasn't written the letter yet.	उसने चिट्ठी अभी तक नहीं लिखी है।
He is always losing his umbrella.	वह हमेशा अपना छाता खोता रहता है।
He may be rich, but he is stingy.	वह अमीर है हो है पर कंजूस भी है।
He pressed me for a prompt reply.	उसने मुझसे जल्द-से-जल्द उत्तर देने के लिए कहा।
He reads the paper every morning.	वह हर सुबह अखबार पढ़ता है।
He was killed by a single bullet.	उसे केवल एक गोली से मारा गया था।
He weighed the stone in his hand.	उसने पत्थर को अपने हाथ में रखकर तोला।
He went to India by way of Japan.	वह जापान से होकर भारत गया।
How old might his grandfather be?	उसके नाना की उम्र क्या होनी चाहिए?
Hurry up, or you'll miss the bus.	जल्दी करो नहीं तो बस छूट जाएगी।
I am ashamed of having been lazy.	मुझे अपने आलसी होने पर शर्म आती है।
I didn't know what to say to him.	मुझे समझ में नहीं आ रहा था कि उससे क्या कहूँ।
I don't know how, but Tom did it.	पता नहीं कैसे पर टॉम ने कर दिया।
I don't know how, but you did it.	पता नहीं कैसे पर तुमने कर दिया।
I had a strange dream last night.	मुझे कल रात एक बहुत अजीब सपना आया।
I had to help with the housework.	मुझे घर के कामकाज में मदद करनी पड़ी।
I have an important call to make.	मुझे एक जरूरी कॉल करनी है ।
I have no place to sleep tonight.	मेरे पास आज रात सोने के लिए जगह नहीं है।
I have not finished the task yet.	मैंने अभी काम ख़तम नहीं किया है।
I know nothing whatever about it.	मुझे इसके बारे में कुछ भी नहीं पता।
I meet him once every six months.	मैं उससे छः महीनों में एक बार मिलता हूँ।
I think the train will come soon.	मुझे लगता है ट्रेन आने ही वाली है।
I want to go to America some day.	मैं एक दिन अमेरिका जाना चाहता हूँ।
I want to study abroad next year.	मुझे अगले साल विदेश जाकर पढ़ाई करने का मन है।
I was taking a bath when he came.	जब वह आया मैं नहा रहा था।
I went there because I wanted to.	मैं वहाँ गया क्योंकि मेरा मन था।
I wrote a love letter last night.	मैंने कल रात एक प्रेम पत्र लिखा था।
I'd like to have a word with you.	मैं तुमसे बात करना चाह्ता हूँ।
I'm looking for a small suitcase.	मैं एक छोटी अटैची को ढूँढ रहा हूँ।
I'm tired of watching television.	मैं टीवी देख देखकर थक गया हूँ।
Is it always a sin to tell a lie?	क्या झूठ हमेशा बुरा होता है?
Is there anywhere you want to go?	ऐसी कोई जगह है जहां आप जाना चाहते हो?
It is expensive to live in Japan.	जापान में रहना बहुत महंगा है।
It is no use asking me for money.	मुझसे पैसे माँगने में कोई फ़ायदा नहीं है।
It looks like you are from India.	लगता है कि तुम भारत के हो।
It won't take long to do the job.	इस काम को करने में ज़्यादा देर नहीं लगेगी।
Keep children away from medicine.	बच्चों को दवाईयों से दूर रखना चहिए।
My boss made me work last Sunday.	मेरे बॉस ने मुझसे पिछले रविवार को काम करवाया।
My father can speak English well.	मेरे पिताजी को अंग्रेज़ी अच्छे से बोलना आता है।
My father's hair has grown white.	मेरे पापा के बाल सफ़ेद हो गए हैं।
My hobby is visiting old temples.	मैं पुराने मंदिरों को देखने जाने का शौकीन हूँ।
Oh, no! We're running out of gas.	अरे नहीं! पेट्रोल खतम होने वाला है।
One billion people speak English.	सौ अरब लोग अंग्रेज़ी बोलते हैं।
Our class consists of fifty boys.	हमारी क्लास में पचास लड़के हैं।
Our class consists of fifty boys.	हमारी कक्षा में पचास लड़के हैं।
Our meeting was quite accidental.	हमारी मुलाकात ग़लती से हो गई।
Please pardon me for coming late.	मुझे देर से आने के लिए माफ़ कीजिएगा।
School begins at half past eight.	स्कूल साढ़े-आठ बजे शुरू होता है।
She asked him to raise the funds.	उसने उससे पैसे जुटाने के लिए कहा।
She didn't give me my money back.	उसने मुझे मेरे पैसे नहीं लौटाए।
She gladly accepted his proposal.	उसने उसका प्रस्ताव खुशी से स्वीकार कर लिया।
She is poor, but she looks happy.	वह गरीब है, पर दिखने से खुश लगती है।
She is too young to go to school.	वह स्कूल जाने के लिए अभी बहुत छोटी है।
She is two years younger than me.	वह मुझसे दो साल छोटी है।
She remained single all her life.	उसने पूरी ज़िन्दगी शादी नहीं करी।
She reproached me for being lazy.	उसने मुझपर आलसी होने के लिए गुस्सा किया।
She went to Paris to study music.	वह संगीत पढ़ने के लिए पैरिस गई।
Summer is the season I like best.	गर्मी का मौसम मेरा सबसे पसंदीता मौसम है।
That box is bigger than this one.	वह डब्बा इस वाले से बड़ा है।
The boy stripped off his clothes.	उस लड़के ने अपने सारे कपड़े उतारे।
The conference will end tomorrow.	सम्मेलन कल समाप्त होगा।
The girl was aware of the danger.	उस लड़की को खतरे के बारे में पता था।
The history class starts at nine.	इतिहास की क्लास नौ बजे शुरू होती है।
The rumor is true to some extent.	वह अफ़वाह किसी हद तक सच है।
The shooting started around noon.	गोलीबारी लगभग दोपहर के बारह बजे शुरू हुई।
The telephone rang several times.	फ़ोन कई बार बजा।
The top of that mountain is flat.	उस पहाड़ की चोटी चपटी है।
There was a strong wind that day.	उस दिन हवा बहुत तेज़ थी।
These trees were planted by them.	ये पेड़ उन्होंने लगाए थे।
They gave us very little trouble.	उन्होंने हमको बहुत कम कष्ट दिया।
They were scolded by the teacher.	उन्हें अपनी टीचर से डाँट पड़ी।
They will get married next month.	उनकी शादी अगले महीने होगी।
This book contains many pictures.	इस किताब में बहुत सारी तस्वीरें हैं।
This book is older than that one.	यह किताब उस किताब से पुरानी है।
This is what I found in the cave.	मुझे गुफ़ा में ये मिला।
This tie doesn't go with my suit.	यह टाई मेरे सूट के साथ जचती नहीं है।
We stayed at a hotel by the lake.	हम झील के पास एक होटल में ठहरे।
We went for a walk in the forest.	हम जंगल में सैर करने गए थे।
What do you do in your free time?	तुम अपने खाली समय में क्या करते हो?
What was his motive for doing it?	उसका यह करने में उद्देश्य क्या था?
When do you usually get off work?	तुम आमतौर पर कितने बजे काम से छूटते हो?
When will you get ready to leave?	तुम चलने के लिए तैयार कब होगे?
Who is to blame for the accident?	इस दुर्घटना के लिए कौन ज़िम्मेदार है?
Will you go to the party tonight?	तुम आज रात पार्टी में जाओगे क्या?
Will you have another cup of tea?	एक और गिलास चाय लेंगे क्या?
Will you sing me a Beatles' song?	तुम मेरे लिए एक बीटल्स का गाना गा सकते हो क्या?
You didn't have to come so early.	तुम्हे इतना जल्दी आने की ज़रूरत नहीं थी।
You don't have to chat with them.	तुम्हे उसने गप मारने की ज़रूरत नहीं है।
You must get rid of such a habit.	तुम्हे इस तरह की आदत तोड़ देनी चाहिए।
A man like that gets on my nerves.	उस तरह का आदमी मुझसे झिलता नहीं है।
A squirrel hid among the branches.	एक गिलहरी डालियों के बीच छुपी हुई थी।
Almost all the leaves have fallen.	लगभग सारी-की-सारी पत्तियाँ गिर चुकीं हैं।
At last, he realized his mistakes.	आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।
Can you tell me what size this is?	क्या आप मुझे बता सकते हैं कि यह किस नाप का है?
Coincidentally enough, I know him.	इत्तेफ़ाक से, मैं उसे जानता हूँ।
Do I have to stay in the hospital?	क्या मुझे अस्पताल में रहना होगा?
Do you know how to use a computer?	क्या आपको कम्प्यूटर का इस्तेमाल करना आता है?
Do you know how to use a computer?	क्या आपको कम्प्यूटर का उपयोग करना आता है?
Do you want to watch this program?	तुम यह कार्यक्रम देखना चाहते हो क्या?
Elephants live in Asia and Africa.	हाथी एशिया और अफ़्रीका में रहते हैं।
He decided not to go to the party.	उसने पार्टी में न जाने का फ़ैसला किया।
He didn't go there. Neither did I.	न वह वहाँ गया, न मैं।
He has been to London three times.	वह लंदन तीन बार जा चुका है।
He hid his sadness behind a smile.	उसने अपने दुख को अपनी मुस्कुराहट के पीछे छिपा लिया।
He is able to speak ten languages.	वह दस भाषाएँ बोलना जानता है।
He lives in that house over there.	वह वहाँ उस घर में रहता है।
He used pigeons in his experiment.	वह अपने प्रयोगों में कबूतरों का उपयोग करता था।
He will write for hours at a time.	वह एक बार में घंटो के लिए लिख सकता है।
He's always running short of cash.	उसको हमेशा पैसों की कमी होती है।
I can't buy a book this expensive.	मैं इतनी महंगी किताब नहीं ख़रीद सकता।
I can't put up with his arrogance.	मुझसे उसका अक्खड़पन झेला नहीं जाता।
I cannot understand what happened.	मुझे समझ में नहीं आ रहा क्या हुआ।
I don't like being made a fool of.	मुझे मूर्ख बनना पसंद नहीं है।
I doubt his ability to do the job.	मुझे उसके काम करने की योग्यता पर भरोसा नहीं है।
I felt hungry after the long walk.	मुझे लम्बी सैर के बाद भूख लग आई।
I had a letter from her yesterday.	मेरे पास कल उसकी एक चिट्ठी आई।
I had the good fortune to succeed.	मैं खुशकिसमत था कि सफ़ल हो गया।
I must adjust my watch. It's slow.	मुझे अपनी घड़ी ठीक करनी है। धीरे चल रही है।
I saw a dog swim across the river.	मैंने एक कुत्ते को तैरकर नदी पार करते हुए देखा।
I usually get home by six o'clock.	मैं आमतौर पर छः बजे तक घर आ जाता हूँ।
I usually get up at eight o'clock.	मैं आमतौर पर आठ बजे उठा करता हूँ।
I want you to go to Osaka at once.	फ़ौरन ओसाका जाओ।
I was able to win the first prize.	मैंने प्रथम पुरस्कार जीत लिया।
I was asked to give you a message.	मुझसे आपको यह संदेश देने के लिए बताया गया था।
I'm going to the village tomorrow.	मैं कल गाँव जा रहा हूँ।
It happened between eight and ten.	आठ से दस बजे के बीच हुआ।
It happened between eight and ten.	आठ से दस बजे के बीच हुई।
It is better to ignore this point.	बेहतर होगा कि इस बात को अनदेखा किया जाए।
It seems to me that you are wrong.	मुझे लगता है कि तुम ग़लत हो।
It was proved that he was a thief.	यह साबित कर दिया गया कि वह चोर था।
It's important for them to go out.	उनके लिए बाहर जाना बहुत ज़रूरी है।
Keep your room as neat as you can.	अपना कमरा जितना साफ़-सुथरा रख सकते हो रखो।
Let me give you a piece of advice.	मैं तुम्हें एक बात की सलाह देता हूँ।
Mary prided herself on her beauty.	मेरी को अपनी सुंदरता पर बहुत नाज़ था।
May we accompany you on your walk?	हम तुम्हारे साथ सैर करने चलें क्या?
My friends celebrated my birthday.	मेरे दोस्तों ने मेरा जन्मदिन मनाया।
My hens laid fewer eggs last year.	मेरी मुर्गियों ने पिछले साल के मुकाबले से कम अंडे दियें हैं।
New Delhi is the capital of India.	भारत की राजधानी नई दिल्ली है।
Only a few people didn't go there.	बहुत कम लोग थे जो वहाँ नहीं गए।
Only a few people listened to him.	उसकी बात कुछ ही लोगों ने सुनी।
Our meeting rarely starts on time.	हमारी मीटिंग कभी-कभार ही टाईम पर शुरू होती है।
She has already finished the work.	वह काम खतम कर चुकी है।
She is as beautiful as her mother.	वह अपनी माँ जैसी सुंदर है।
She is ashamed of her old clothes.	उसको अपने पुराने कपड़ो पर शर्म आती है।
Smoking will do you a lot of harm.	धूम्रपान आपको हानि पहुँचाएगा।
Someday your dream will come true.	तुम्हारा सपना एक दिन सच हो जाएगा।
Stamps are not sold in this store.	यहां डाक टिकटें नहीं बेची जातीं हैं।
That bicycle is too small for you.	यह साईकल तुम्हारे लिए बहुत छोटी है।
The capital of India is New Delhi.	भारत की राजधानी नई दिल्ली है।
The job must be finished by 3 p.m.	यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।
The mountain is covered with snow.	पहाड़ पर बर्फ़ बिछी हुई है।
The plane took off exactly at six.	हवाईजहाज़ ने ठीक छः बजे उड़ान ली।
The rain prevented me from coming.	मैं बारिश की वजह से आ नहीं पाया।
The road is parallel to the river.	वह सड़क नदी के साथ साथ चलती है।
The women of France are beautiful.	फ़्रांस की महिलाये खूबसूरत हैं।
There are five apples in this box.	इस डब्बे में पाँच सेव हैं।
There is a garden behind my house.	मेरे घर के पीछे एक बगीचा है।
There was no one there besides me.	वहाँ मेरे अलावा और कोई नहीं था।
There were two murders this month.	इस महीने दो क़त्ल हुए हैं।
There were two murders this month.	इस महीने दो हत्याएँ हुईं हैं।
They are willing to learn English.	वे अंग्रेज़ी सीखने को तैयार हैं।
We shared the profit among us all.	हमने मुनाफ़े को अपने बीच बाँटा।
We should observe the speed limit.	हमे गति सीमा का पालन करना चाहिए।
We usually have breakfast at 7:30.	हम आमतौर पर साढ़े सात बजे नाश्ता खाते हैं।
What movies are playing this week?	इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?
What time did your friend go home?	तुम्हारा दोस्त कितने बजे घर वापस गया था?
What time do you get up every day?	आप रोज़ कितने बजे उठते हैं?
What time do you get up every day?	तुम रोज़ कितने बजे उठते हो?
What time do you get up every day?	तुम रोज़ कितने बजे उठा करते हो?
What time will you have breakfast?	तुम नाश्ता कितने बजे लोगे?
When did you get back from London?	तुम लंदन से कब वापस आए?
Who do you think broke the window?	तुम्हें क्या लगता है? खिड़की किसने तोड़ी है?
Will the weather be good tomorrow?	कल मौसम अच्छा होगा क्या?
Will you go to America next month?	तुम अगले महीने अम्रीका जाओगे क्या?
Would you like another cup of tea?	आप एक और कप चाय पीना चाहेंगे क्या?
You had better not read this book.	तुम यह किताब न ही पढ़ो बेहतर होगा।
You must keep an eye on the child.	तुम्हे बच्चे पर नज़र रखनी पड़ेगी।
You've got nothing to complain of.	तुम्हारे पास शिकायत करने के लिए को भी वजह नहीं है।
Your sister can not speak English.	तुम्हारी बहन अंग्रेज़ी नहीं बोल सकती है।
A police officer is talking to her.	एक पुलिस अफ़सर उससे बात कर रहा है।
An elephant is a very large animal.	हाथी एक बहुत बड़ा जानवर होता है।
Are you sure of her coming on time?	तुम्हे पक्का मालूम है कि वह समय पर आ रही है?
As a matter of fact, I dislike him.	दरअसल मुझे वह पसंद नहीं है।
Bern is the capital of Switzerland.	बर्न स्विजरलैंड की राजधानी है।
Could you call again later, please?	क्या आप थोड़ी देर बाद फिरसे फ़ोन कर सकतें हैं?
Did you hear the news on the radio?	तुमने रेडियो पर खबर सुनी क्या?
Do you have these shoes in my size?	क्या ये जूते मेरे नाप में भी हैं?
Do you have these shoes in my size?	क्या ये जूते मेरे नाप में भी मिल सकते हैं?
Do you like to live in the country?	आप को गाँव में रहना पसंद है क्या?
Don't be afraid of making mistakes.	ग़लतियाँ करने से मत डरो।
Don't speak ill of your classmates.	अपने सहपाठियों की बुराई मत करो।
Every man should learn how to cook.	हर आदमी को खाना बनाना सीखना चाहिए।
Everybody wants to live in comfort.	सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।
Few people will admit their faults.	बहुत कम लोग अपनी गलतियों को मानते हैं।
He did the reverse of what I asked.	उसने मेरे बताए हुए से उलटा काम किया।
He died without having made a will.	वह वसीयत बनाए बिना ही मर गया।
He doesn't live in my neighborhood.	वह मेरे आस-पड़ोस में नहीं रहता।
He had nothing to do with the case.	उसका इस केस के साथ कोई लेना-देना नहीं था।
He had to go without food for days.	उसने दिनों तक खाना नहीं खाया।
He has no sense of right and wrong.	वह सही-ग़लत में अंतर करना नहीं जानता।
He has plenty of money in the bank.	उसके पास बैंक में बहुत पैसे हैं।
He kept us waiting for a long time.	उसने हमसे बहुत देर तक इंतेज़ार करवाया।
He left a large fortune to his son.	उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।
He put down the rebellion in India.	उसने भारत में विद्रोह को रोका।
He ran faster than his brother did.	वह अपने भाई से तेज़ भागता था।
He rescued the child from the fire.	उसने बच्चे को आग से बचाया।
He speaks English better than I do.	वह अंग्रेज़ी मुझसे अच्छा बोलता है।
How do you like living on your own?	तुम्हे अकेले रहना अच्छा लगता है क्या?
How is it going in the fish market?	मछली बाज़ार में कैसा चल रहा है?
How long will it take to get there?	वहाँ पहुँचने में कितनी देर लगेगी?
How many books do you read a month?	तुम एक महीने में कितनी किताबें पढ़ते हो?
How many sandwiches are there left?	कितने सैंडविच बचे हैं?
I am his friend and will remain so.	मैं उसका दोस्त हूँ और रहूँगा।
I am married and have two children.	मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
I cannot tolerate naughty children.	मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।
I don't know who wrote this letter.	मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।
I don't like studying in this heat.	मुझे इस गर्मी में पढ़ाई करना अच्छा नहीं लगता।
I don't think I can wait that long.	मैं उतनी देर रुक नहीं सकता।
I doubt the truth of his statement.	मुझे उसके बयान की सच्चाई पर शक है।
I fell down the stairs in my haste.	अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।
I had my brother repair my bicycle.	मैंने अपने भाई से अपनी साईकल ठीक करवाई।
I had nothing to do with the group.	मेरा उस ग्रुप के साथ कोई संबंध नहीं था।
I haven't seen him for a long time.	मैंने उसे बहुत दिनों से नहीं देखा है।
I hear that she's a famous actress.	मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।
I helped my mother wash the dishes.	मैंने अपनी मम्मी को बर्तन धोने में मदद करी।
I learned French instead of German.	मैंने जर्मन की बजाय फ़्रानसीसी सीखी ।
I ordered those books from Germany.	मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।
I want to know about this mountain.	मुझे इस पहाड़ के बारे में जानना है।
I was able to play piano very well.	मैं पियानो बहुत अच्छा बजा लेता था।
I wish to go to Paris to study art.	मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।
I wish to go to Paris to study art.	मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।
I'm anxious for him to return safe.	मैं उसके सुरक्षित लौटने के लिए बेचैन हूँ।
If I don't do it now, I never will.	अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
If I had wings, I would fly to you.	अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।
It has been fine since last Friday.	पिछले शनिवार से मौसम बहुत अच्छा है।
It is going to rain this afternoon.	आज दोपहर बारिश होने वाली है।
It seems that everybody likes golf.	ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।
It shouldn't take long to find Tom.	टॉम को ढूँढने में समय नहीं लगना चाहिए।
It's more difficult than you think.	जितना तुम सोच रहे हो उतना आसान नहीं है।
Learning a foreign language is fun.	विदेषी भाषा सीखना बहुत मज़ेदार होता है।
My brother depends on me for money.	मेरा भाई पैसों के लिए मुझपर निर्भर है।
My sister is very fond of children.	मेरी बहन को बच्चों से बहुत प्यार है।
My wife has just cleared the table.	मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
Nowadays nobody believes in ghosts.	आजकल कोई भी भूत-प्रेत में विश्वास नहीं करता।
One is tall and the other is short.	एक लम्बा है और दूसरा छोटा है।
She accused me of making a mistake.	उसने मुझपर ग़लती करने का इलज़ाम लगाया।
She asked me if I knew her address.	उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।
She didn't want him to go overseas.	वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।
She didn't want to speak to anyone.	उसे किसी से भी बात करने का मन नहीं था।
She felt insecure about her future.	उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।
She felt insecure about her future.	उसको अपना भविष्य असुरक्षित लगा।
She is busy preparing for the trip.	वह सफ़र की तैयारी में लगी हुई है।
She was very surprised at the news.	वह खबर सुनकर हैरान रह गई।
She went to the market once a week.	वह हफ़्ते में एक बार बाज़ार जाती थी।
She's in the garden planting roses.	वह बगीचे में है, गुलाब के फूल लगा रही है।
Since he was tired, he went to bed.	वह थक गया था, तो सोने चला गया।
Since you're here, you can help me.	तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।
Take this medicine every six hours.	इस दवाई को हर छः घंटे लेना।
Teaching English is his profession.	अंग्रेज़ी पढ़ाना उसका पेशा है।
The animals in the forest died off.	जंगल के जानवर मर गए।
The baby fell asleep in the cradle.	बच्चा पालनी में सो गया।
The boy has an apple in his pocket.	इस लड़के के जेब में एक सेव है।
The fat woman was holding a monkey.	उस मोटी औरत ने एक बंदर पकड़ा हुआ था।
The hole is about five feet across.	गड्ढा पाँच फ़ुट चौड़ा है।
The king was deprived of his power.	उस राजा से उसकी ताक़त छीन ली गई।
The lion is the king of the jungle.	शेर जंगल का राजा है।
The mystery still remains unsolved.	वह आज भी एक रहस्य है।
The problem is being discussed now.	समस्या पर बहस जारी है।
The storm destroyed the whole town.	तूफ़ान ने पूरे नगर को नष्ट कर दिया।
The storm destroyed the whole town.	तूफ़ान ने पूरे शहर को तबाह कर दिया।
There is a strange man at the door.	दरवाज़े पर कोई अजीब सा इनसान है।
These questions are easy to answer.	इन सवालों का जवाब देना आसान है।
These questions are easy to answer.	ये प्रश्न सरल हैं।
They are proud of their clever son.	उन्हे अपने अकलमंद बेटे पर नाज़ है।
They brought trouble on themselves.	उन्होंने अपने ऊपर मुसीबत बुलाई।
This is a good newspaper, isn't it?	यह एक अच्छा अखबार है ना?
To make matters worse, he fell ill.	और-तो-और वह बीमार भी पड़ गया।
Tomorrow, he will land on the moon.	कल वह चाँद पर उतरेगा।
We are all eager to know the truth.	हम सब सच जानने के लिए बेचैन हैं।
What do you think she is doing now?	तुम्हारे हिसाब से वह अभी क्या कर रही होगी?
Where should I pick the tickets up?	मुझे टिकटें कहाँ से लेनीं होंगीं?
